y,x1,x2
-834,-464,-370
-1380,-471,-909
-1100,-414,-686
-1398,-405,-993
-1278,-678,-600
-1391,-835,-556
-896,-249,-647
-965,-163,-802
-599,-394,-205
-442,-334,-108
-896,-220,-676
-1231,-524,-707
-815,-721,-94
-1184,-775,-409
-958,-594,-364
-1122,-194,-928
-966,-249,-717
-1065,-111,-954
-1107,-318,-789
-665,-90,-575
-257,-173,-84
-1298,-831,-467
-1444,-942,-502
-552,-409,-143
-1141,-377,-764
-660,-503,-157
-1017,-493,-524
-830,-250,-580
-755,-166,-589
-1016,-700,-316
-1435,-610,-825
-1175,-222,-953
-300,-298,-2
-883,-653,-230
-1182,-954,-228
-899,-302,-597
-1162,-313,-849
-958,-533,-425
-1324,-858,-466
-1307,-980,-327
-561,-80,-481
-107,-102,-5
-1700,-970,-730
-772,-202,-570
-1258,-380,-878
-1675,-708,-967
